0, 1
4.13887, 2
4.50784, 3
6.31564, 1
10.3883, 2
11.0552, 3
12.1822, 1
15.6556, 2
16.8464, 3
17.2564, 1
20.4891, 2
21.5136, 3
22.1175, 1
24.5374, 2
25.5721, 3
26.3578, 1
30.2398, 2
30.6022, 3
30.7747, 1
33.5089, 2
35.0831, 3
36.5484, 1
40.3301, 2
41.0998, 3
42.1721, 1
45.4929, 2
45.6335, 3
47.0338, 1
51.1708, 2
51.5401, 3
53.4929, 1
56.3862, 2
57.4229, 3
57.998, 1
62.2189, 2
62.4976, 3
63.0104, 1
66.2621, 2
67.4067, 3
67.69, 1
70.8115, 2
71.252, 3
72.3764, 1
77.3404, 2
77.368, 3
79.5751, 1
83.9061, 2
83.9248, 3
83.9319, 1
86.4537, 2
86.8355, 3
87.0951, 1
89.3264, 2
91.7902, 3
92.3016, 1
96.5527, 2
97.072, 3
98.7978, 1
