0, 1
2.15405, 2
4.75623, 3
7.15559, 1
11.7477, 2
12.1361, 3
14.4555, 1
16.8385, 2
18.7539, 3
22.4323, 1
25.5784, 2
27.1587, 3
31.2548, 1
36.0375, 2
36.2442, 3
38.1531, 1
40.4805, 2
40.8949, 3
44.0658, 1
47.3496, 2
47.3844, 3
50.4425, 1
53.8252, 2
54.4755, 3
59.3224, 1
62.897, 2
63.1205, 3
67.292, 1
70.4886, 2
71.0298, 3
75.1316, 1
77.8612, 2
79.8488, 3
85.5125, 1
89.6078, 2
90.3689, 3
93.8902, 1
96.309, 2
97.2573, 3
101.74, 1
104.374, 2
106.051, 3
109.862, 1
113.211, 2
113.498, 3
117.881, 1
119.914, 2
121.597, 3
125.739, 1
128.23, 2
