0, 1
4.35697, 2
4.57406, 3
8.36402, 1
10.5964, 2
11.3586, 3
16.1768, 1
18.7034, 2
19.3967, 3
23.1813, 1
26.5561, 2
28.1083, 3
32.2142, 1
36.5641, 2
36.6568, 3
41.5091, 1
46.298, 2
46.3763, 3
49.9179, 1
52.5027, 2
54.4717, 3
58.0776, 1
62.6015, 2
62.6522, 3
65.8595, 1
69.6755, 2
70.558, 3
73.6944, 1
76.137, 2
77.231, 3
82.4286, 1
85.3221, 2
85.6659, 3
88.5912, 1
91.5311, 2
91.9997, 3
94.2319, 1
97.7151, 2
98.9536, 3
102.614, 1
106.54, 2
107.109, 3
111.373, 1
114.689, 2
115.711, 3
119.972, 1
122.694, 2
122.988, 3
126.772, 1
